,Date,CHS,PDR,VAR,AVG,VAR70,VAR85,VAR99
244,12/18/2020,1.51,-0.057893978,0.00507427,-0.003661954,1.532068854475391,1.4770428178278783,1.347883145170934
245,12/21/2020,1.49,-0.013333531,0.005053939,-0.00370143,1.445972616092721,1.3941363389097958,1.2716908525527653
246,12/22/2020,1.49,0.0,0.00503345,-0.003686383,1.4262942141188517,1.3754231154636096,1.2548004244347206
247,12/23/2020,1.55,0.039478811,0.005020585,-0.003511626,1.4265348783958183,1.375422021727701,1.2554406993433815
248,12/24/2020,1.49,-0.039478811,0.005005536,-0.003656655,1.4845303538720185,1.4316516103809978,1.3065543238519903
249,12/28/2020,1.9,0.243077766,0.005228941,-0.002665753,1.4268679727973461,1.3761290308226002,1.2559917728685663
250,12/29/2020,1.7,-0.111225635,0.005254977,-0.003099993,1.8194066936618805,1.7533861101640722,1.5970904256203964
251,12/30/2020,1.68,-0.011834458,0.005234344,-0.003134791,1.6271432526364487,1.567781679653502,1.4282138696750881
252,12/31/2020,1.59,-0.055059777,0.005224229,-0.003340843,1.608192320173811,1.5495628875464131,1.4114033954273624
253,1/4/2021,1.68,0.055059777,0.005217008,-0.003110011,1.5217617751341892,1.4662443161994008,1.336471509295552
254,1/5/2021,1.79,0.063421826,0.005213827,-0.002848074,1.6084711320148477,1.5498985930138887,1.4113541094802209
255,1/6/2021,1.8,0.005571045,0.005193657,-0.002815058,1.7143211811320342,1.6521227188111074,1.505101942715637
256,1/7/2021,1.76,-0.022472856,0.005174873,-0.002891846,1.72393173514267,1.6614161752436472,1.5139225406621706
257,1/8/2021,1.71,-0.028820439,0.005157343,-0.002992736,1.6855231690801071,1.6247886862751264,1.4813471317116087
258,1/11/2021,1.74,0.017391743,0.005138958,-0.002913726,1.6376554472395064,1.578642977954731,1.4393610335565508
259,1/12/2021,1.79,0.028330507,0.005122871,-0.002793092,1.66653011336337,1.6064841760368216,1.463717705543809
